,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
82,5.463800049,0.001000023,0.708163754,0.753950187,0.001,"(10, 10)",6,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 6, 'NN__alpha': 0.001}",54,0.729988053,0.74760479,0.694976077,0.764741095,0.686227545,0.760622382,0.729341317,0.744464393,0.700239808,0.752318277,0.081685771,1.17E-07,0.018128304,0.007666412
76,3.437199974,0.000999975,0.707924348,0.716661407,0.001,"(5, 5)",5,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 5, 'NN__alpha': 0.001}",55,0.700119474,0.707784431,0.681818182,0.715055373,0.701796407,0.721723519,0.724550898,0.720227409,0.731414868,0.718516303,0.616494651,9.54E-08,0.017931968,0.004963104
70,5.030399942,0.001000023,0.706966723,0.73282264,0.001,"(20,)",4,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 4, 'NN__alpha': 0.001}",56,0.709677419,0.734730539,0.699760766,0.733912002,0.701796407,0.729503291,0.718562874,0.728904847,0.705035971,0.737062519,0.058496464,1.17E-07,0.006695854,0.003135938
16,0.476999998,0.000600004,0.706727316,0.708642364,1,"(5, 5)",5,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 5, 'NN__alpha': 1}",57,0.724014337,0.704491018,0.684210526,0.712361568,0.704191617,0.713943746,0.717365269,0.704967086,0.70383693,0.7074484,0.076527096,0.000489901,0.013672325,0.00384978
54,5.354199934,0.001400042,0.70648791,0.756943322,0.1,"(10, 10)",8,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 8, 'NN__alpha': 0.1}",58,0.727598566,0.761976048,0.69138756,0.753965878,0.706586826,0.764512268,0.719760479,0.749251945,0.68705036,0.75501047,0.505886698,0.00048994,0.015671435,0.005556539
71,5.00619998,0.001200056,0.70648791,0.738508718,0.001,"(20,)",5,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 5, 'NN__alpha': 0.001}",58,0.726403823,0.735628743,0.681818182,0.744387908,0.693413174,0.738779174,0.720958084,0.738779174,0.709832134,0.734968591,0.033949411,0.000400019,0.01671977,0.003332804
6,0.618999958,0.00079999,0.706248504,0.711275786,1,"(10,)",5,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 5, 'NN__alpha': 1}",60,0.722819594,0.706586826,0.684210526,0.712960192,0.710179641,0.716935966,0.707784431,0.712148414,0.706235012,0.707747532,0.158879844,0.000399995,0.012481609,0.003743561
46,2.184400034,0.000999975,0.706248504,0.71594365,0.1,"(5, 5)",5,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 5, 'NN__alpha': 0.1}",60,0.709677419,0.708682635,0.685406699,0.711762945,0.707784431,0.722321963,0.722155689,0.726211849,0.706235012,0.710738857,0.92428187,9.54E-08,0.011846926,0.006977239
31,0.886600065,0.000400019,0.706009097,0.716124383,0.1,"(5,)",5,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 5, 'NN__alpha': 0.1}",62,0.718040621,0.717365269,0.686602871,0.712960192,0.702994012,0.719030521,0.720958084,0.722022741,0.701438849,0.709243195,0.470791895,0.000489921,0.012451592,0.004519711
10,0.854400015,0.000999975,0.705530285,0.708642149,1,"(20,)",4,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 4, 'NN__alpha': 1}",63,0.714456392,0.702694611,0.683014354,0.71266088,0.710179641,0.712447636,0.717365269,0.707660084,0.70263789,0.707747532,0.058294439,9.54E-08,0.012305423,0.003681574
20,0.928800011,0.000600004,0.705530285,0.708702118,1,"(10, 10)",4,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 4, 'NN__alpha': 1}",63,0.710872162,0.703293413,0.68062201,0.713558815,0.708982036,0.712148414,0.720958084,0.706762418,0.706235012,0.707747532,0.089159169,0.000489901,0.013414662,0.003725378
15,0.504199982,0.00079999,0.705290879,0.708103782,1,"(5, 5)",4,"{'NN__hidden_layer_sizes': (5, 5), 'pca__n_components': 4, 'NN__alpha': 1}",65,0.715651135,0.703293413,0.679425837,0.713858126,0.708982036,0.710353082,0.718562874,0.706762418,0.70383693,0.70625187,0.108435079,0.000399995,0.013919852,0.003648022
25,2.033400011,0.001599979,0.704812066,0.707983448,1,"(20, 20)",4,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 4, 'NN__alpha': 1}",66,0.712066906,0.699700599,0.681818182,0.712960192,0.706586826,0.710951526,0.719760479,0.707360862,0.70383693,0.708944062,0.212378542,0.00048994,0.012722245,0.004549581
0,0.27779994,0.000800037,0.70457266,0.707445189,1,"(5,)",4,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 4, 'NN__alpha': 1}",67,0.712066906,0.701497006,0.684210526,0.713259503,0.705389222,0.710652304,0.717365269,0.704667864,0.70383693,0.707149267,0.029246514,0.000400019,0.011277987,0.00417789
5,0.445200014,0.000400019,0.70457266,0.708701939,1,"(10,)",4,"{'NN__hidden_layer_sizes': (10,), 'pca__n_components': 4, 'NN__alpha': 1}",67,0.713261649,0.701497006,0.681818182,0.713259503,0.706586826,0.712447636,0.71497006,0.709455416,0.706235012,0.706850135,0.100370147,0.000489921,0.011905034,0.004259333
11,1.11239996,0.00079999,0.70457266,0.711395493,1,"(20,)",5,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 5, 'NN__alpha': 1}",67,0.716845878,0.706287425,0.684210526,0.71266088,0.710179641,0.718432077,0.705389222,0.71304608,0.706235012,0.706551002,0.31349229,0.000399995,0.010960685,0.00454754
41,5.055200005,0.001000071,0.70457266,0.731864323,0.1,"(20,)",5,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 5, 'NN__alpha': 0.1}",67,0.721624851,0.72754491,0.687799043,0.731218198,0.702994012,0.734590066,0.707784431,0.732495512,0.70263789,0.733472929,0.037557411,1.17E-07,0.010857522,0.0024286
21,0.872800064,0.001000023,0.704093847,0.71091672,1,"(10, 10)",5,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 5, 'NN__alpha': 1}",71,0.722819594,0.706586826,0.68062201,0.713558815,0.710179641,0.716935966,0.702994012,0.709156194,0.70383693,0.708345797,0.112474722,1.17E-07,0.013718179,0.003786002
26,2.734600067,0.001399946,0.704093847,0.711335559,1,"(20, 20)",5,"{'NN__hidden_layer_sizes': (20, 20), 'pca__n_components': 5, 'NN__alpha': 1}",71,0.714456392,0.706886228,0.679425837,0.712062257,0.711377246,0.716636744,0.706586826,0.712447636,0.708633094,0.70864493,0.675596497,0.000489921,0.012620146,0.003373527
73,4.774399996,0.001000023,0.704093847,0.759754611,0.001,"(20,)",7,"{'NN__hidden_layer_sizes': (20,), 'pca__n_components': 7, 'NN__alpha': 0.001}",71,0.726403823,0.74760479,0.686602871,0.766836277,0.702994012,0.759724716,0.707784431,0.762118492,0.696642686,0.762488783,0.590496366,0.000632485,0.013229452,0.006493576
1,0.214800024,0.00079999,0.703854441,0.707983484,1,"(5,)",5,"{'NN__hidden_layer_sizes': (5,), 'pca__n_components': 5, 'NN__alpha': 1}",74,0.716845878,0.7,0.683014354,0.711762945,0.705389222,0.71304608,0.713772455,0.707360862,0.700239808,0.707747532,0.025902871,0.000399995,0.011978646,0.004562753
52,5.67220006,0.000999975,0.703854441,0.754429481,0.1,"(10, 10)",6,"{'NN__hidden_layer_sizes': (10, 10), 'pca__n_components': 6, 'NN__alpha': 0.1}",74,0.718040621,0.75748503,0.703349282,0.757258306,0.698203593,0.755236385,0.711377246,0.746558947,0.6882494,0.755608735,0.294961279,0.00063241,0.010329376,0.004033006
